datetime,zone_id,zone_name,vehicle_type,weather,temperature,humidity,traffic_index,hourly_vehicle_count,ride_demand
2024-01-01 00:00:00,1,Indiranagar,Cab,Clear,25.5,72.5,6.6,180,68
2024-01-01 00:00:00,2,Whitefield,Auto,Rainy,27.0,72.0,6.7,248,74
2024-01-01 00:00:00,3,Koramangala,Bike,Clear,30.4,52.8,3.2,95,84
2024-01-01 00:00:00,4,MG Road,Auto,Clear,31.0,60.0,6.9,121,38
2024-01-01 00:00:00,5,Electronic City,Cab,Clear,25.6,79.3,2.9,220,51
2024-01-01 00:00:00,6,Hebbal,Auto,Clear,32.7,70.4,2.8,199,31
2024-01-01 00:00:00,7,BTM Layout,Auto,Rainy,23.5,80.5,2.3,131,70
2024-01-01 00:00:00,8,Rajajinagar,Cab,Clear,32.3,45.4,8.3,136,44
2024-01-01 00:00:00,9,Marathahalli,Bike,Rainy,27.4,83.2,4.0,249,55
2024-01-01 00:00:00,10,JP Nagar,Bike,Clear,25.6,40.7,6.0,207,63
2024-01-01 01:00:00,1,Indiranagar,Auto,Clear,26.0,51.7,3.6,292,76
2024-01-01 01:00:00,2,Whitefield,Auto,Rainy,32.0,43.6,5.6,170,27
2024-01-01 01:00:00,3,Koramangala,Auto,Clear,25.0,44.8,3.1,210,67
2024-01-01 01:00:00,4,MG Road,Auto,Rainy,27.4,52.7,6.2,239,78
2024-01-01 01:00:00,5,Electronic City,Auto,Clear,29.0,73.4,4.0,86,98
2024-01-01 01:00:00,6,Hebbal,Auto,Clear,29.2,55.3,5.3,123,61
2024-01-01 01:00:00,7,BTM Layout,Cab,Cloudy,30.4,40.0,4.9,50,41
2024-01-01 01:00:00,8,Rajajinagar,Auto,Cloudy,31.3,50.6,5.7,204,75
2024-01-01 01:00:00,9,Marathahalli,Auto,Rainy,24.9,62.0,3.5,189,90
2024-01-01 01:00:00,10,JP Nagar,Auto,Clear,29.4,88.6,7.6,260,23
2024-01-01 02:00:00,1,Indiranagar,Bike,Clear,28.7,80.9,3.2,267,93
2024-01-01 02:00:00,2,Whitefield,Cab,Clear,25.0,64.8,8.7,294,43
2024-01-01 02:00:00,3,Koramangala,Bike,Cloudy,29.9,48.6,8.6,265,22
2024-01-01 02:00:00,4,MG Road,Auto,Clear,28.3,55.8,2.3,111,24
2024-01-01 02:00:00,5,Electronic City,Cab,Clear,25.8,47.0,6.8,277,56
2024-01-01 02:00:00,6,Hebbal,Bike,Clear,26.8,62.7,4.8,133,62
2024-01-01 02:00:00,7,BTM Layout,Bike,Clear,29.2,67.4,8.5,298,37
2024-01-01 02:00:00,8,Rajajinagar,Auto,Cloudy,31.8,61.1,3.1,185,28
2024-01-01 02:00:00,9,Marathahalli,Auto,Clear,21.1,72.7,4.4,209,72
2024-01-01 02:00:00,10,JP Nagar,Cab,Rainy,26.3,61.9,4.9,77,76
2024-01-01 03:00:00,1,Indiranagar,Auto,Cloudy,31.8,47.9,5.9,296,72
2024-01-01 03:00:00,2,Whitefield,Bike,Cloudy,27.6,82.6,4.0,208,41
2024-01-01 03:00:00,3,Koramangala,Auto,Clear,25.1,64.2,4.4,160,23
2024-01-01 03:00:00,4,MG Road,Bike,Clear,28.9,88.3,2.7,87,37
2024-01-01 03:00:00,5,Electronic City,Cab,Cloudy,29.3,79.7,4.1,131,46
2024-01-01 03:00:00,6,Hebbal,Cab,Cloudy,23.4,61.1,5.1,273,38
