booking_id,pickup_datetime,pickup_lat,pickup_lon,drop_lat,drop_lon,distance_km,trip_time_minutes,passenger_count,base_fare,surge_multiplier,final_fare
BK00001,2024-02-17 00:35:00,12.901,77.5855,12.9592,77.6974,1.63,5.95,2,46.29,2.0,92.59
BK00002,2024-02-06 05:10:00,12.9784,77.6408,12.9166,77.6101,9.88,34.38,2,128.84,1.2,154.6
BK00003,2024-01-09 05:09:00,12.9757,77.605,12.9915,77.5545,6.02,14.51,2,90.17,2.5,225.42
BK00004,2024-02-25 06:52:00,12.9166,77.6101,12.9784,77.6408,7.16,22.73,3,101.64,2.5,254.09
BK00005,2024-02-17 16:15:00,12.8452,77.6602,13.0358,77.597,1.01,3.08,1,40.12,1.2,48.15
BK00006,2024-01-18 17:24:00,12.8452,77.6602,12.9915,77.5545,12.33,42.27,1,153.33,1.2,183.99
BK00007,2024-02-20 12:50:00,12.8452,77.6602,12.9592,77.6974,4.23,15.34,2,72.35,1.5,108.52
BK00008,2024-02-12 15:26:00,12.9915,77.5545,12.9592,77.6974,8.55,20.63,1,115.5,2.5,288.76
BK00009,2024-01-05 02:02:00,12.9166,77.6101,12.9784,77.6408,13.02,32.86,2,160.22,1.2,192.26
BK00010,2024-02-22 15:27:00,12.9915,77.5545,12.9698,77.7499,7.23,16.59,3,102.34,2.5,255.84
BK00011,2024-02-22 15:16:00,12.9757,77.605,12.8452,77.6602,8.78,27.08,2,117.75,2.0,235.51
BK00012,2024-01-03 13:51:00,12.9784,77.6408,12.9757,77.605,4.48,11.44,1,74.83,1.2,89.79
BK00013,2024-02-24 14:02:00,12.9915,77.5545,12.9166,77.6101,1.66,5.36,1,46.61,1.2,55.93
BK00014,2024-01-17 00:46:00,12.9166,77.6101,12.9757,77.605,9.64,22.22,2,126.38,2.0,252.76
BK00015,2024-02-15 13:26:00,13.0358,77.597,12.9784,77.6408,14.2,32.42,2,171.95,1.0,171.95
BK00016,2024-02-12 10:45:00,12.9698,77.7499,12.8452,77.6602,8.91,25.54,3,119.07,1.2,142.88
BK00017,2024-01-05 01:08:00,12.8452,77.6602,12.9592,77.6974,6.17,13.67,2,91.65,2.0,183.31
BK00018,2024-02-07 11:43:00,12.9915,77.5545,12.9698,77.7499,3.13,6.93,3,61.31,1.0,61.31
BK00019,2024-01-10 07:14:00,12.9592,77.6974,12.9915,77.5545,10.29,22.75,1,132.93,1.5,199.4
BK00020,2024-02-22 16:35:00,12.9757,77.605,12.9757,77.605,12.03,44.47,2,150.29,1.5,225.43
BK00021,2024-01-24 01:09:00,12.8452,77.6602,12.9915,77.5545,11.84,33.49,2,148.37,2.5,370.92
BK00022,2024-02-17 17:46:00,12.9698,77.7499,12.901,77.5855,3.23,9.02,2,62.3,2.5,155.75
BK00023,2024-02-23 02:53:00,12.901,77.5855,13.0358,77.597,10.85,23.46,3,138.53,1.2,166.24
BK00024,2024-02-25 16:37:00,12.9757,77.605,12.9166,77.6101,7.05,28.18,2,100.46,2.5,251.14
BK00025,2024-01-24 23:41:00,12.9915,77.5545,12.901,77.5855,14.43,39.72,2,174.28,1.5,261.42
BK00026,2024-02-23 19:35:00,12.9757,77.605,12.9757,77.605,5.1,10.86,2,81.0,2.5,202.49
BK00027,2024-01-19 00:47:00,12.9352,77.6245,12.9757,77.605,12.91,35.76,1,159.1,1.2,190.93
BK00028,2024-02-08 02:47:00,12.901,77.5855,12.9592,77.6974,10.26,40.07,1,132.59,1.2,159.11
BK00029,2024-01-05 08:12:00,12.901,77.5855,12.9166,77.6101,11.86,35.15,1,148.6,1.0,148.6
BK00030,2024-02-24 16:35:00,12.9166,77.6101,13.0358,77.597,10.2,28.64,1,131.96,2.5,329.91
BK00031,2024-02-09 00:49:00,12.9592,77.6974,12.901,77.5855,8.14,31.92,3,111.43,1.0,111.43
BK00032,2024-01-06 09:32:00,12.9915,77.5545,12.901,77.5855,2.61,5.31,1,56.13,1.5,84.19
BK00033,2024-01-27 11:22:00,12.8452,77.6602,12.9592,77.6974,1.4,3.01,3,43.96,1.0,43.96
BK00034,2024-01-02 19:13:00,12.9352,77.6245,12.9757,77.605,5.95,16.56,2,89.53,1.0,89.53
BK00035,2024-02-11 05:54:00,12.9352,77.6245,12.9698,77.7499,7.46,19.93,3,104.58,1.2,125.49
BK00036,2024-01-29 17:31:00,13.0358,77.597,13.0358,77.597,11.15,30.68,1,141.48,2.0,282.97
BK00037,2024-02-16 10:52:00,12.9757,77.605,12.8452,77.6602,5.27,14.89,3,82.72,2.0,165.45
BK00038,2024-01-19 08:08:00,12.9592,77.6974,12.9757,77.605,6.99,22.36,1,99.87,2.0,199.73
BK00039,2024-02-13 04:20:00,12.9757,77.605,12.9784,77.6408,12.18,29.24,2,151.83,1.0,151.83
BK00040,2024-02-19 14:39:00,12.9915,77.5545,12.8452,77.6602,1.47,3.56,1,44.72,2.0,89.45
BK00041,2024-01-07 23:40:00,12.9698,77.7499,12.8452,77.6602,9.03,21.46,2,120.29,1.2,144.35
BK00042,2024-02-21 10:48:00,13.0358,77.597,12.9784,77.6408,11.82,47.22,3,148.16,2.0,296.32
BK00043,2024-01-23 08:28:00,13.0358,77.597,12.9352,77.6245,13.16,38.59,1,161.65,1.0,161.65
BK00044,2024-02-26 20:52:00,12.9698,77.7499,12.9698,77.7499,4.98,19.0,1,79.8,2.5,199.51
BK00045,2024-02-21 08:17:00,12.9698,77.7499,12.9166,77.6101,6.96,18.89,3,99.55,1.0,99.55
BK00046,2024-02-10 23:19:00,12.8452,77.6602,12.9784,77.6408,9.71,22.19,2,127.05,2.0,254.11
BK00047,2024-01-15 02:09:00,13.0358,77.597,12.9757,77.605,3.01,7.38,3,60.11,1.0,60.11
BK00048,2024-02-04 21:33:00,12.9352,77.6245,12.901,77.5855,2.37,7.99,1,53.75,1.2,64.5
BK00049,2024-01-13 21:25:00,12.9352,77.6245,12.9698,77.7499,8.65,29.42,3,116.52,2.0,233.05
