datetime,zone_id,weather,temperature,rain_mm,humidity,traffic_index
2024-01-01 00:00:00,1,Rainy,33.9,0.0,85.6,6.1
2024-01-01 00:00:00,2,Cloudy,28.2,14.61,66.6,10.8
2024-01-01 00:00:00,3,Clear,27.0,0.0,54.7,5.0
2024-01-01 00:00:00,4,Cloudy,30.0,0.0,71.4,5.0
2024-01-01 00:00:00,5,Cloudy,27.3,0.0,67.3,4.6
2024-01-01 00:00:00,6,Cloudy,36.7,0.0,50.5,8.8
2024-01-01 00:00:00,7,Cloudy,31.1,0.0,42.0,6.2
2024-01-01 00:00:00,8,Clear,20.8,2.35,79.2,9.0
2024-01-01 00:00:00,9,Cloudy,24.7,0.0,80.5,3.3
2024-01-01 00:00:00,10,Cloudy,31.0,0.0,80.6,2.7
2024-01-01 01:00:00,1,Clear,19.9,0.0,51.5,5.4
2024-01-01 01:00:00,2,Cloudy,35.1,0.0,57.5,2.9
2024-01-01 01:00:00,3,Rainy,29.5,12.76,55.8,4.3
2024-01-01 01:00:00,4,Cloudy,24.4,0.0,68.6,6.8
2024-01-01 01:00:00,5,Clear,32.9,15.24,42.5,8.3
2024-01-01 01:00:00,6,Clear,31.4,1.24,51.9,10.3
2024-01-01 01:00:00,7,Cloudy,33.2,3.9,44.0,9.5
2024-01-01 01:00:00,8,Rainy,29.4,0.0,71.9,7.8
2024-01-01 01:00:00,9,Rainy,26.3,0.0,89.5,3.9
2024-01-01 01:00:00,10,Cloudy,32.9,0.0,68.8,3.0
2024-01-01 02:00:00,1,Clear,19.7,7.15,44.0,9.6
2024-01-01 02:00:00,2,Rainy,23.2,12.7,66.3,6.0
2024-01-01 02:00:00,3,Cloudy,26.5,0.0,71.8,3.7
2024-01-01 02:00:00,4,Cloudy,29.2,0.0,40.1,5.4
2024-01-01 02:00:00,5,Cloudy,20.9,0.0,63.7,3.5
2024-01-01 02:00:00,6,Cloudy,29.4,8.8,65.7,10.7
2024-01-01 02:00:00,7,Rainy,29.7,0.0,81.9,7.2
2024-01-01 02:00:00,8,Rainy,28.0,0.0,85.3,4.4
2024-01-01 02:00:00,9,Clear,30.0,0.0,77.8,8.0
2024-01-01 02:00:00,10,Rainy,23.1,0.0,56.0,2.8
2024-01-01 03:00:00,1,Cloudy,26.0,3.33,68.7,5.9
2024-01-01 03:00:00,2,Cloudy,24.0,0.0,61.2,8.2
2024-01-01 03:00:00,3,Cloudy,30.3,19.69,66.2,11.4
2024-01-01 03:00:00,4,Cloudy,29.2,0.0,51.4,3.8
2024-01-01 03:00:00,5,Cloudy,26.6,0.0,62.5,2.3
2024-01-01 03:00:00,6,Clear,25.0,0.0,79.5,2.4
2024-01-01 03:00:00,7,Cloudy,35.9,14.59,54.2,6.4
2024-01-01 03:00:00,8,Cloudy,23.2,0.0,66.0,5.3
2024-01-01 03:00:00,9,Rainy,31.7,13.47,40.0,11.0
2024-01-01 03:00:00,10,Cloudy,27.9,0.0,51.7,5.7
2024-01-01 04:00:00,1,Cloudy,32.1,0.0,70.5,4.6
2024-01-01 04:00:00,2,Cloudy,35.3,0.0,56.4,6.9
2024-01-01 04:00:00,3,Clear,32.1,0.0,48.3,3.5
2024-01-01 04:00:00,4,Rainy,29.4,0.0,51.4,8.5
2024-01-01 04:00:00,5,Cloudy,32.8,0.0,66.5,2.8
2024-01-01 04:00:00,6,Clear,24.3,0.0,61.0,4.9
2024-01-01 04:00:00,7,Cloudy,24.6,9.78,73.1,5.7
2024-01-01 04:00:00,8,Rainy,24.6,0.0,71.3,3.3
2024-01-01 04:00:00,9,Rainy,23.4,0.0,43.7,7.7
2024-01-01 04:00:00,10,Cloudy,30.6,1.31,73.9,6.5
2024-01-01 05:00:00,1,Cloudy,25.8,0.0,45.3,7.1
2024-01-01 05:00:00,2,Cloudy,28.2,11.19,40.4,2.8
2024-01-01 05:00:00,3,Rainy,31.2,0.0,62.3,6.6
2024-01-01 05:00:00,4,Rainy,26.6,2.34,40.9,5.8
2024-01-01 05:00:00,5,Rainy,25.4,5.52,59.7,9.6
2024-01-01 05:00:00,6,Clear,31.2,12.21,43.9,11.1
2024-01-01 05:00:00,7,Clear,30.0,0.0,87.4,3.5
2024-01-01 05:00:00,8,Clear,28.6,0.0,60.8,6.3
2024-01-01 05:00:00,9,Cloudy,32.1,4.8,49.6,10.2
2024-01-01 05:00:00,10,Cloudy,21.5,13.92,73.5,10.7
2024-01-01 06:00:00,1,Clear,28.8,0.0,70.1,5.9
2024-01-01 06:00:00,2,Clear,34.7,0.0,54.5,8.2
2024-01-01 06:00:00,3,Cloudy,27.3,17.5,65.7,3.5
2024-01-01 06:00:00,4,Rainy,36.4,0.0,76.1,4.6
2024-01-01 06:00:00,5,Clear,21.9,0.0,42.2,6.8
2024-01-01 06:00:00,6,Cloudy,22.3,0.0,41.2,7.4
2024-01-01 06:00:00,7,Cloudy,35.0,7.5,74.7,8.9
2024-01-01 06:00:00,8,Cloudy,24.3,0.0,44.7,4.8
2024-01-01 06:00:00,9,Clear,28.1,0.0,63.6,4.8
2024-01-01 06:00:00,10,Clear,25.6,3.17,77.4,3.6
2024-01-01 07:00:00,1,Clear,30.5,0.0,69.1,3.8
2024-01-01 07:00:00,2,Cloudy,30.5,13.47,51.3,7.3
2024-01-01 07:00:00,3,Clear,30.5,0.0,55.2,5.5
2024-01-01 07:00:00,4,Rainy,26.5,0.0,85.0,8.5
2024-01-01 07:00:00,5,Rainy,24.5,0.0,77.4,3.2
2024-01-01 07:00:00,6,Cloudy,27.2,0.0,40.3,7.9
2024-01-01 07:00:00,7,Rainy,26.8,0.0,61.2,8.4
2024-01-01 07:00:00,8,Clear,22.0,0.0,86.5,7.6
2024-01-01 07:00:00,9,Rainy,31.4,0.0,54.5,5.6
2024-01-01 07:00:00,10,Rainy,32.4,16.65,47.4,8.2
2024-01-01 08:00:00,1,Clear,22.4,0.0,89.3,5.1
2024-01-01 08:00:00,2,Clear,34.4,0.0,41.9,7.1
2024-01-01 08:00:00,3,Cloudy,31.5,0.0,82.0,3.2
2024-01-01 08:00:00,4,Cloudy,27.7,0.0,66.2,4.5
2024-01-01 08:00:00,5,Cloudy,24.1,0.0,58.6,2.1
2024-01-01 08:00:00,6,Cloudy,24.5,0.0,48.7,8.5
2024-01-01 08:00:00,7,Cloudy,31.0,0.0,47.9,6.0
2024-01-01 08:00:00,8,Cloudy,36.4,7.75,59.0,8.7
2024-01-01 08:00:00,9,Clear,30.3,0.0,57.1,8.0
2024-01-01 08:00:00,10,Cloudy,28.9,5.45,77.7,11.6
2024-01-01 09:00:00,1,Cloudy,33.3,0.0,72.9,4.2
2024-01-01 09:00:00,2,Rainy,26.7,0.0,84.9,3.2
2024-01-01 09:00:00,3,Clear,33.7,0.0,69.6,8.9
2024-01-01 09:00:00,4,Cloudy,28.1,0.0,40.3,7.3
2024-01-01 09:00:00,5,Rainy,25.2,0.0,76.1,2.9
2024-01-01 09:00:00,6,Rainy,24.4,0.0,80.0,5.2
2024-01-01 09:00:00,7,Rainy,22.3,17.91,41.5,7.5
2024-01-01 09:00:00,8,Cloudy,28.3,0.0,40.3,3.5
2024-01-01 09:00:00,9,Rainy,29.7,0.0,88.5,4.2
2024-01-01 09:00:00,10,Clear,26.2,6.4,48.3,11.1
2024-01-01 10:00:00,1,Clear,31.3,0.0,49.6,2.8
2024-01-01 10:00:00,2,Rainy,24.9,0.0,43.1,4.5
2024-01-01 10:00:00,3,Rainy,31.6,0.0,78.4,6.1
2024-01-01 10:00:00,4,Cloudy,29.9,0.0,68.7,5.8
2024-01-01 10:00:00,5,Cloudy,29.5,0.0,84.4,4.8
2024-01-01 10:00:00,6,Rainy,24.6,0.0,50.9,3.7
2024-01-01 10:00:00,7,Rainy,27.5,0.0,84.8,4.5
2024-01-01 10:00:00,8,Clear,27.6,0.0,65.5,7.4
2024-01-01 10:00:00,9,Clear,27.2,13.1,44.7,4.0
2024-01-01 10:00:00,10,Cloudy,24.1,0.0,61.9,7.3
2024-01-01 11:00:00,1,Rainy,30.0,0.0,86.3,7.5
2024-01-01 11:00:00,2,Clear,22.7,0.0,86.0,8.0
2024-01-01 11:00:00,3,Rainy,30.2,0.0,74.3,4.5
2024-01-01 11:00:00,4,Cloudy,34.0,0.0,89.6,6.7
2024-01-01 11:00:00,5,Cloudy,32.6,16.28,68.9,9.6
2024-01-01 11:00:00,6,Cloudy,30.9,0.0,67.5,4.0
2024-01-01 11:00:00,7,Rainy,31.3,1.28,75.2,3.7
2024-01-01 11:00:00,8,Rainy,28.9,0.0,79.9,4.8
2024-01-01 11:00:00,9,Rainy,30.6,0.0,61.7,4.8
2024-01-01 11:00:00,10,Clear,29.6,0.99,56.9,6.1
2024-01-01 12:00:00,1,Clear,30.5,0.0,54.9,8.3
2024-01-01 12:00:00,2,Cloudy,30.6,0.0,40.6,5.7
2024-01-01 12:00:00,3,Clear,32.0,0.0,42.0,8.6
2024-01-01 12:00:00,4,Rainy,35.0,0.0,66.7,7.0
2024-01-01 12:00:00,5,Cloudy,27.8,0.0,89.7,3.0
2024-01-01 12:00:00,6,Clear,33.5,0.0,67.0,5.5
2024-01-01 12:00:00,7,Cloudy,30.2,0.0,78.9,7.4
2024-01-01 12:00:00,8,Cloudy,26.5,18.19,65.8,3.6
2024-01-01 12:00:00,9,Clear,31.7,0.0,86.9,8.4
2024-01-01 12:00:00,10,Clear,34.9,0.0,65.4,3.5
2024-01-01 13:00:00,1,Cloudy,26.2,0.0,41.2,5.2
2024-01-01 13:00:00,2,Rainy,23.4,0.0,61.1,3.8
2024-01-01 13:00:00,3,Cloudy,30.3,13.11,85.5,8.4
2024-01-01 13:00:00,4,Cloudy,29.1,0.0,41.4,6.6
2024-01-01 13:00:00,5,Rainy,28.2,16.01,59.6,4.7
2024-01-01 13:00:00,6,Cloudy,25.0,0.0,47.0,3.0
2024-01-01 13:00:00,7,Rainy,30.3,0.01,65.4,4.2
